tree_id,long_ddm,lat_ddm,long_dd,lat_dd,focal,repro_2022,pollinator_survey,herbivory_survey,fruit_set,fruit_drop
32,NA,NA,-1.33777032,51.76606995,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
32.2,W001 20.2756,N51 45.9632,-1.337926626,51.76605225,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
33,NA,NA,-1.32874549,51.77038851,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
33.1,W001 19.7194,N51 46.2211,-1.328656673,51.77035141,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
33.2,W001 19.7098,N51 46.2237,-1.328496695,51.77039337,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
34,NA,NA,-1.3093728,51.76774065,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
34.1,W001 18.5624,N51 46.0515,-1.309373379,51.76752472,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
34.2,W001 18.5571,N51 46.0598,-1.309285045,51.76766205,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
35,NA,NA,-1.31741361,51.7630202,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
35.1,W001 19.0768,N51 45.7849,-1.317946672,51.7630806,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
35.2,W001 19.0466,N51 45.7861,-1.31743445,51.7631172,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
35.3,NA,NA,-1.31773388,51.76305607,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
